ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;PERCENTUAL_VOTOS
4381;2008;15;24236;45;5644;2609;19998;4479;8311;11561;943;817;0.0;2;8;108918;13.15
4382;2008;15;24236;65;5644;2609;19998;4479;8311;11561;943;817;81541.87;2;8;108918;14.08
4383;2008;15;24236;70;5644;2609;19998;4479;8311;11561;943;817;0.0;2;8;108918;0.19
4384;2008;15;24236;28;5644;2609;19998;4479;8311;11561;943;817;680.0;2;8;108918;1.28
4638;2008;15;24252;13;781;135;1301;160;538;1666;31;26;80635.57;2;8;9282;17.59
4639;2008;15;24252;15;781;135;1301;160;538;1666;31;26;12769.56;2;8;9282;25.11
4661;2008;15;24279;14;7275;1555;19387;3460;7071;13418;750;482;4993.39;2;8;106978;19.52
4662;2008;15;24279;45;7275;1555;19387;3460;7071;13418;750;482;174610.0;2;6;106978;19.6
4663;2008;15;24279;40;7275;1555;19387;3460;7071;13418;750;482;77406.4;2;6;106978;0.33
4766;2008;15;24295;11;4285;323;3091;263;832;5848;28;22;38290.0;2;4;29454;18.44
4767;2008;15;24295;40;4285;323;3091;263;832;5848;28;22;130197.73;2;2;29454;9.23
4768;2008;15;24295;45;4285;323;3091;263;832;5848;28;22;15674.0;2;8;29454;6.83
4810;2008;15;24317;40;3645;676;3462;760;1367;5672;143;85;2277.4;2;6;31650;2.87
4811;2008;15;24317;45;3645;676;3462;760;1367;5672;143;85;103290.03;2;8;31650;22.1
4812;2008;15;24317;23;3645;676;3462;760;1367;5672;143;85;0.0;2;5;31650;9.68
4907;2008;15;24333;22;886;173;1975;163;707;1959;40;36;12430.0;2;6;11900;19.71
4908;2008;15;24333;25;886;173;1975;163;707;1959;40;36;31500.95;2;5;11900;22.34
4930;2008;15;24350;40;7030;2703;24333;4628;10340;11141;607;579;46487.96;2;8;122850;22.01
4931;2008;15;24350;17;7030;2703;24333;4628;10340;11141;607;579;0.0;2;8;122850;17.27
5063;2008;15;24376;22;1563;195;2337;244;755;4348;57;52;16466.5;2;8;19216;20.06
5064;2008;15;24376;40;1563;195;2337;244;755;4348;57;52;11240.0;2;6;19216;15.74
5089;2008;15;24392;22;2150;254;2480;339;837;3997;75;36;23121.25;2;6;20386;21.57
5090;2008;15;24392;45;2150;254;2480;339;837;3997;75;36;209607.0;2;6;20386;19.26
5136;2008;15;24414;40;369;91;889;170;495;1170;24;19;9121.92;2;6;6506;22.26
5137;2008;15;24414;12;369;91;889;170;495;1170;24;19;5015.0;2;7;6506;20.5
5164;2008;15;24430;45;8802;5184;17508;4457;5690;13920;575;431;118446.41;2;8;113212;11.89
5165;2008;15;24430;22;8802;5184;17508;4457;5690;13920;575;431;14566.0;4;8;113212;0.81
5166;2008;15;24430;12;8802;5184;17508;4457;5690;13920;575;431;289916.37;2;8;113212;28.29
5262;2008;15;24457;40;2973;349;4707;514;1989;8086;83;88;19699.82;2;6;37624;29.23
5263;2008;15;24457;13;2973;349;4707;514;1989;8086;83;88;3430.0;2;6;37624;6.44
5296;2008;15;24473;14;459;115;1351;276;572;855;53;55;26470.0;2;6;7482;20.29
5297;2008;15;24473;40;459;115;1351;276;572;855;53;55;32490.0;2;6;7482;23.91
5321;2008;15;24511;23;1192;730;5194;1538;2340;2971;569;298;10000.0;4;7;29690;1.16
5322;2008;15;24511;36;1192;730;5194;1538;2340;2971;569;298;0.0;2;7;29690;0.46
5323;2008;15;24511;25;1192;730;5194;1538;2340;2971;569;298;74800.0;2;4;29690;17.79
5324;2008;15;24511;13;1192;730;5194;1538;2340;2971;569;298;50575.75;2;8;29690;21.1
5420;2008;15;25976;12;5061;359;7751;1092;2504;6860;241;191;16161.7;2;8;48190;0.23
5421;2008;15;25976;40;5061;359;7751;1092;2504;6860;241;191;69633.0;2;8;48190;16.92
5422;2008;15;25976;45;5061;359;7751;1092;2504;6860;241;191;116024.76;2;8;48190;19.84
5423;2008;15;25976;36;5061;359;7751;1092;2504;6860;241;191;1830.0;2;8;48190;0.22
5502;2008;15;24538;40;1474;212;2429;454;1102;3818;103;40;40159.06;2;6;19326;33.95
5503;2008;15;24538;22;1474;212;2429;454;1102;3818;103;40;3034.0;2;6;19326;8.11
5528;2008;15;26336;45;2734;584;6627;833;2519;3280;100;97;95375.4;2;7;33562;22.39
5529;2008;15;26336;12;2734;584;6627;833;2519;3280;100;97;36165.51;2;8;33562;17.82
5530;2008;15;26336;13;2734;584;6627;833;2519;3280;100;97;27265.7;2;7;33562;1.48
5614;2008;15;24554;33;2285;375;4198;400;1541;3456;50;67;29770.0;2;8;24792;22.61
5615;2008;15;24554;10;2285;375;4198;400;1541;3456;50;67;13583.5;2;8;24792;0.07
5616;2008;15;24554;15;2285;375;4198;400;1541;3456;50;67;27500.0;2;3;24792;16.71
5693;2008;15;24490;22;4862;639;5397;374;1118;5880;68;48;23350.0;2;4;36818;15.18
5694;2008;15;24490;15;4862;639;5397;374;1118;5880;68;48;205302.85;2;6;36818;21.16
5745;2008;15;24570;13;20940;28879;144052;51595;69336;58786;8183;6526;495982.69;2;8;777860;11.68
5746;2008;15;24570;45;20940;28879;144052;51595;69336;58786;8183;6526;874351.9;2;6;777860;20.07
5747;2008;15;24570;10;20940;28879;144052;51595;69336;58786;8183;6526;149894.72;2;8;777860;3.37
5748;2008;15;24570;50;20940;28879;144052;51595;69336;58786;8183;6526;6083.08;2;8;777860;0.28
5749;2008;15;24570;12;20940;28879;144052;51595;69336;58786;8183;6526;87400.0;2;8;777860;2.02
7620;2008;15;23302;13;2136;490;2983;215;1008;2043;45;41;36214.02;2;2;17942;15.95
7621;2008;15;23302;25;2136;490;2983;215;1008;2043;45;41;69600.0;2;6;17942;20.43
7666;2008;15;24597;40;2752;260;3738;256;739;4290;57;36;37010.05;2;4;24274;17.01
7667;2008;15;24597;15;2752;260;3738;256;739;4290;57;36;14915.0;2;3;24274;21.87
7689;2008;15;23264;12;1214;692;3225;846;1639;2985;118;70;56000.0;2;4;21596;18.3
7690;2008;15;23264;40;1214;692;3225;846;1639;2985;118;70;100710.83;2;6;21596;19.02
7749;2008;15;24635;33;2304;239;3898;446;1269;3186;88;68;75534.0;2;8;23004;13.88
7750;2008;15;24635;14;2304;239;3898;446;1269;3186;88;68;183145.2;2;8;23004;13.06
7751;2008;15;24635;40;2304;239;3898;446;1269;3186;88;68;19850.0;2;6;23004;14.23
7752;2008;15;24635;33;2304;239;3898;446;1269;3186;88;68;11305.0;2;7;23004;13.88
7833;2008;15;24619;45;3008;373;4664;677;2220;7902;137;102;64008.32;2;7;38184;20.61
7834;2008;15;24619;11;3008;373;4664;677;2220;7902;137;102;99332.75;2;4;38184;22.61
7864;2008;15;23124;14;1689;224;2274;132;538;3673;13;17;6000.0;2;3;17120;18.62
7865;2008;15;23124;12;1689;224;2274;132;538;3673;13;17;3401.0;2;6;17120;17.03
7885;2008;15;24651;12;1655;280;2549;255;994;3915;67;56;47776.0;4;8;19544;23.91
7914;2008;15;24678;40;2693;277;3399;269;972;2679;50;27;71262.5;2;8;20764;18.66
7915;2008;15;24678;22;2693;277;3399;269;972;2679;50;27;43029.72;2;6;20764;20.32
7938;2008;15;24694;45;2091;299;5230;392;1537;6278;51;57;128270.0;2;8;31882;24.41
7939;2008;15;24694;40;2091;299;5230;392;1537;6278;51;57;7850.0;2;3;31882;17.35
8001;2008;15;23027;45;1767;580;4246;667;1605;3095;85;75;126244.96;4;8;24254;21.98
8002;2008;15;23027;40;1767;580;4246;667;1605;3095;85;75;0.0;2;7;24254;18.17
8003;2008;15;23027;22;1767;580;4246;667;1605;3095;85;75;2438.56;2;4;24254;0.93
8099;2008;15;24716;14;1584;172;2303;200;722;4269;30;38;20000.0;2;3;18638;29.91
8100;2008;15;24716;19;1584;172;2303;200;722;4269;30;38;6155.0;2;4;18638;8.72
8127;2008;15;24732;14;3253;354;2879;329;861;4081;40;35;56535.7;2;8;23680;20.29
8155;2008;15;23183;40;2784;407;4803;495;1667;6566;59;66;0.0;2;6;50522;12.44
8156;2008;15;23183;40;2784;407;4803;495;1667;6566;59;66;45616.5;2;5;50522;12.16
8157;2008;15;23183;15;2784;407;4803;495;1667;6566;59;66;0.0;4;8;50522;13.17
8212;2008;15;24759;12;2689;972;8706;1082;2838;5590;207;168;92500.0;2;8;44560;23.75
8213;2008;15;24759;25;2689;972;8706;1082;2838;5590;207;168;0.0;2;6;44560;0.29
8214;2008;15;24759;22;2689;972;8706;1082;2838;5590;207;168;5142.79;2;7;44560;1.67
8215;2008;15;24759;13;2689;972;8706;1082;2838;5590;207;168;47322.5;2;8;44560;17.11
8242;2008;15;24775;45;6254;2509;12670;3484;7853;11098;625;592;304600.0;2;6;90464;22.06
8243;2008;15;24775;22;6254;2509;12670;3484;7853;11098;625;592;129600.0;2;8;90464;15.29
8383;2008;15;24791;13;2980;705;4821;951;2451;5195;152;146;0.0;2;4;34828;0.42
8384;2008;15;24791;25;2980;705;4821;951;2451;5195;152;146;43573.54;2;5;34828;24.86
8385;2008;15;24791;15;2980;705;4821;951;2451;5195;152;146;65000.0;2;5;34828;11.59
8386;2008;15;24791;40;2980;705;4821;951;2451;5195;152;146;15371.5;4;5;34828;1.46
8426;2008;15;24813;14;1431;288;3124;322;854;2888;54;48;33500.0;2;8;18024;24.16
8427;2008;15;24813;45;1431;288;3124;322;854;2888;54;48;50000.0;2;7;18024;15.41
8467;2008;15;23248;45;2829;98;2270;89;432;4082;12;18;143595.0;2;3;19692;25.64
8497;2008;15;24830;22;2686;522;3111;246;930;2433;58;45;67500.12;2;5;20120;8.77
8498;2008;15;24830;40;2686;522;3111;246;930;2433;58;45;16669.3;2;5;20120;13.2
8499;2008;15;24830;13;2686;522;3111;246;930;2433;58;45;38268.0;2;6;20120;12.37
8564;2008;15;24856;22;1358;386;3304;451;1285;3430;82;60;2015.0;2;8;20724;24.42
8565;2008;15;24856;25;1358;386;3304;451;1285;3430;82;60;0.0;4;6;20724;18.23
8636;2008;15;25852;22;951;356;1981;369;1064;2432;82;68;0.0;2;6;14616;18.69
8637;2008;15;25852;14;951;356;1981;369;1064;2432;82;68;87541.93;2;4;14616;21.96
8638;2008;15;25852;13;951;356;1981;369;1064;2432;82;68;420.0;2;8;14616;3.71
8670;2008;15;24872;13;4131;2785;15920;3786;6012;6188;425;320;16237.81;2;8;79454;5.65
8671;2008;15;24872;15;4131;2785;15920;3786;6012;6188;425;320;189391.55;2;8;79454;21.05
8672;2008;15;24872;45;4131;2785;15920;3786;6012;6188;425;320;135741.15;2;8;79454;12.42
8787;2008;15;24899;25;3009;797;9532;1180;2850;6492;458;297;0.0;2;8;49342;0.64
8788;2008;15;24899;14;3009;797;9532;1180;2850;6492;458;297;48399.7;2;6;49342;19.32
8789;2008;15;24899;45;3009;797;9532;1180;2850;6492;458;297;102540.0;2;8;49342;19.2
8862;2008;15;24910;12;10204;21560;99350;44452;61280;31916;11699;9144;33505.67;2;6;579760;2.91
8863;2008;15;24910;14;10204;21560;99350;44452;61280;31916;11699;9144;113830.0;2;8;579760;5.32
8864;2008;15;24910;44;10204;21560;99350;44452;61280;31916;11699;9144;6084.0;2;8;579760;0.3
8865;2008;15;24910;15;10204;21560;99350;44452;61280;31916;11699;9144;355223.5;4;8;579760;7.06
8866;2008;15;24910;50;10204;21560;99350;44452;61280;31916;11699;9144;9919.5;2;8;579760;0.53
8867;2008;15;24910;65;10204;21560;99350;44452;61280;31916;11699;9144;769616.83;2;8;579760;20.87
9831;2008;15;24937;45;2749;358;4881;546;2540;6941;114;84;27290.0;2;5;36530;20.39
9832;2008;15;24937;13;2749;358;4881;546;2540;6941;114;84;78106.25;2;6;36530;13.91
9865;2008;15;24953;22;1760;147;2763;289;1387;3882;32;31;59075.0;2;6;20600;20.27
9866;2008;15;24953;13;1760;147;2763;289;1387;3882;32;31;75417.37;2;6;20600;20.3
9894;2008;15;24970;65;6722;1380;9243;1417;3677;17006;318;198;11996.39;2;8;80152;0.61
9895;2008;15;24970;45;6722;1380;9243;1417;3677;17006;318;198;118942.77;2;4;80152;17.22
9896;2008;15;24970;12;6722;1380;9243;1417;3677;17006;318;198;92858.0;2;3;80152;17.03
9897;2008;15;24970;13;6722;1380;9243;1417;3677;17006;318;198;37645.0;2;8;80152;2.11
9898;2008;15;24970;45;6722;1380;9243;1417;3677;17006;318;198;0.0;2;7;80152;17.22
9976;2008;15;24996;12;7277;2890;13658;3524;6395;8745;632;506;237201.07;2;3;87366;19.18
9977;2008;15;24996;22;7277;2890;13658;3524;6395;8745;632;506;1100.0;2;6;87366;0.74
9978;2008;15;24996;25;7277;2890;13658;3524;6395;8745;632;506;177000.0;2;8;87366;16.61
9979;2008;15;24996;65;7277;2890;13658;3524;6395;8745;632;506;11990.0;2;8;87366;0.52
9980;2008;15;24996;50;7277;2890;13658;3524;6395;8745;632;506;0.0;2;8;87366;0.11
10089;2008;15;25011;40;1458;191;2713;184;527;1595;44;34;24535.76;2;7;13508;18.21
10090;2008;15;25011;13;1458;191;2713;184;527;1595;44;34;0.0;2;5;13508;0.44
10091;2008;15;25011;12;1458;191;2713;184;527;1595;44;34;6183.25;2;3;13508;17.06
10126;2008;15;25038;12;6434;315;4778;439;1674;6694;81;61;0.0;2;8;41064;15.35
10127;2008;15;25038;14;6434;315;4778;439;1674;6694;81;61;94000.0;2;8;41064;20.0
10158;2008;15;25054;13;1510;189;1885;144;506;3202;18;18;51623.65;2;3;14970;19.55
10159;2008;15;25054;40;1510;189;1885;144;506;3202;18;18;33406.4;2;6;14970;21.76
10199;2008;15;25070;40;1793;243;4162;665;1882;6352;103;104;31987.3;2;8;30620;11.46
10200;2008;15;25070;14;1793;243;4162;665;1882;6352;103;104;3800.0;2;8;30620;7.44
10201;2008;15;25070;23;1793;243;4162;665;1882;6352;103;104;40000.0;2;8;30620;8.49
10202;2008;15;25070;10;1793;243;4162;665;1882;6352;103;104;21824.86;2;8;30620;13.06
10238;2008;15;25097;45;4205;477;8081;690;2621;7814;103;90;75510.0;4;4;48170;17.06
10239;2008;15;25097;11;4205;477;8081;690;2621;7814;103;90;113500.0;2;8;48170;21.4
10296;2008;15;25119;15;4778;767;10208;1515;3565;12015;280;184;63720.0;2;7;66636;15.72
10297;2008;15;25119;14;4778;767;10208;1515;3565;12015;280;184;325852.05;2;6;66636;18.19
10298;2008;15;25119;45;4778;767;10208;1515;3565;12015;280;184;54640.0;2;3;66636;5.68
10420;2008;15;25135;50;5511;14548;61809;29428;41409;20950;4274;3601;0.0;2;7;363468;0.09
10421;2008;15;25135;29;5511;14548;61809;29428;41409;20950;4274;3601;0.0;2;6;363468;0.06
10422;2008;15;25135;14;5511;14548;61809;29428;41409;20950;4274;3601;212990.59;2;8;363468;13.29
10423;2008;15;25135;13;5511;14548;61809;29428;41409;20950;4274;3601;223928.52;2;7;363468;11.49
10424;2008;15;25135;40;5511;14548;61809;29428;41409;20950;4274;3601;262881.94;2;5;363468;13.53
10931;2008;15;25151;22;3642;384;5573;613;1491;4755;185;127;8230.1;2;8;33558;19.2
10932;2008;15;25151;31;3642;384;5573;613;1491;4755;185;127;45.0;2;5;33558;0.06
10933;2008;15;25151;14;3642;384;5573;613;1491;4755;185;127;32245.0;2;8;33558;18.54
10961;2008;15;25178;23;7011;1614;12884;2610;6296;14127;686;483;9260.0;2;8;91558;0.15
10962;2008;15;25178;14;7011;1614;12884;2610;6296;14127;686;483;39200.0;2;6;91558;3.92
10963;2008;15;25178;10;7011;1614;12884;2610;6296;14127;686;483;0.0;4;8;91558;16.55
10964;2008;15;25178;40;7011;1614;12884;2610;6296;14127;686;483;9001.0;2;8;91558;15.59
11080;2008;15;25216;15;10127;6409;50238;16385;29763;32983;4701;3123;680537.75;2;8;307898;23.79
11081;2008;15;25216;40;10127;6409;50238;16385;29763;32983;4701;3123;612600.0;2;8;307898;15.18
11082;2008;15;25216;50;10127;6409;50238;16385;29763;32983;4701;3123;783.1;2;8;307898;0.98
11446;2008;15;25194;40;2406;1349;7054;1862;3249;5760;223;107;21176.65;2;6;44040;18.16
11447;2008;15;25194;22;2406;1349;7054;1862;3249;5760;223;107;137963.64;2;8;44040;20.97
11518;2008;15;25259;40;2440;420;5380;676;1967;5907;87;83;1920.0;2;5;50893;0.22
11519;2008;15;25259;14;2440;420;5380;676;1967;5907;87;83;0.0;2;8;50893;8.99
11520;2008;15;25259;14;2440;420;5380;676;1967;5907;87;83;120340.87;4;8;50893;12.86
11521;2008;15;25259;22;2440;420;5380;676;1967;5907;87;83;0.0;4;8;50893;18.61
11584;2008;15;25232;14;1817;226;2719;233;736;2906;60;36;66650.0;2;4;17494;13.3
11585;2008;15;25232;22;1817;226;2719;233;736;2906;60;36;12999.4;2;8;17494;4.89
11586;2008;15;25232;25;1817;226;2719;233;736;2906;60;36;37520.0;2;8;17494;21.0
11625;2008;15;25275;40;1649;329;3623;560;1121;2230;67;52;19760.0;2;6;19270;8.98
11626;2008;15;25275;22;1649;329;3623;560;1121;2230;67;52;44383.4;2;6;19270;13.78
11627;2008;15;25275;14;1649;329;3623;560;1121;2230;67;52;18300.0;2;4;19270;3.61
11628;2008;15;25275;45;1649;329;3623;560;1121;2230;67;52;35201.01;2;6;19270;12.58
11688;2008;15;25291;15;5748;247;4546;470;1397;4402;75;67;3063.98;4;8;33912;0.17
11689;2008;15;25291;65;5748;247;4546;470;1397;4402;75;67;70818.0;2;8;33912;12.24
11690;2008;15;25291;40;5748;247;4546;470;1397;4402;75;67;64750.0;2;6;33912;20.07
11737;2008;15;23000;40;663;284;957;113;377;2953;11;10;11470.0;2;2;10748;15.92
11738;2008;15;23000;22;663;284;957;113;377;2953;11;10;19361.0;2;6;10748;23.46
11758;2008;15;25313;20;36359;83932;355867;183018;215082;107106;74639;50093;0.0;2;8;2216770;1.4
11759;2008;15;25313;50;36359;83932;355867;183018;215082;107106;74639;50093;12564.11;2;7;2216770;1.15
11760;2008;15;25313;13;36359;83932;355867;183018;215082;107106;74639;50093;2823747.04;2;7;2216770;19.52
11761;2008;15;25313;16;36359;83932;355867;183018;215082;107106;74639;50093;2250.06;4;8;2216770;0.18
11762;2008;15;25313;25;36359;83932;355867;183018;215082;107106;74639;50093;2109197.45;2;8;2216770;9.33
11763;2008;15;25313;15;36359;83932;355867;183018;215082;107106;74639;50093;0.0;2;8;2216770;6.21
11764;2008;15;25313;21;36359;83932;355867;183018;215082;107106;74639;50093;1516.0;2;8;2216770;0.09
19348;2008;15;25330;45;2455;458;3848;381;1369;6428;96;55;92225.0;2;8;30272;23.22
19349;2008;15;25330;40;2455;458;3848;381;1369;6428;96;55;71100.0;2;8;30272;19.98
19399;2008;15;25356;14;5431;1419;9640;1826;3920;8266;215;242;0.0;2;7;61990;20.64
19400;2008;15;25356;25;5431;1419;9640;1826;3920;8266;215;242;0.0;2;8;61990;14.17
19401;2008;15;25356;21;5431;1419;9640;1826;3920;8266;215;242;2254.6;4;8;61990;0.34
19468;2008;15;25372;14;3743;427;6408;794;1937;3730;116;105;46535.0;2;8;34628;12.5
19469;2008;15;25372;13;3743;427;6408;794;1937;3730;116;105;15955.5;2;8;34628;8.85
19470;2008;15;25372;22;3743;427;6408;794;1937;3730;116;105;18892.72;4;8;34628;6.27
19471;2008;15;25372;40;3743;427;6408;794;1937;3730;116;105;23450.0;2;8;34628;8.55
19548;2008;15;25399;14;2033;253;3127;392;779;3516;79;46;52016.0;2;6;20460;22.42
19549;2008;15;25399;40;2033;253;3127;392;779;3516;79;46;95680.0;2;6;20460;19.01
19583;2008;15;25410;22;925;108;1748;158;470;2175;19;20;19000.0;2;6;11246;23.83
19584;2008;15;25410;45;925;108;1748;158;470;2175;19;20;41633.28;4;4;11246;18.7
19608;2008;15;25437;44;3665;1433;11551;2385;6360;9116;545;489;151.5;2;4;71368;0.23
19609;2008;15;25437;25;3665;1433;11551;2385;6360;9116;545;489;57000.52;2;8;71368;17.86
19610;2008;15;25437;40;3665;1433;11551;2385;6360;9116;545;489;223128.62;2;8;71368;20.45
19611;2008;15;25437;13;3665;1433;11551;2385;6360;9116;545;489;1600.0;2;8;71368;1.3
19682;2008;15;25453;40;2949;470;3483;509;880;3889;88;58;40430.0;2;6;24704;19.07
19683;2008;15;25453;14;2949;470;3483;509;880;3889;88;58;2500.0;4;2;24704;15.48
19715;2008;15;25470;65;2272;913;3982;592;1444;4063;157;112;32037.78;2;5;27108;25.41
19716;2008;15;25470;12;2272;913;3982;592;1444;4063;157;112;0.0;2;2;27108;0.35
19717;2008;15;25470;11;2272;913;3982;592;1444;4063;157;112;19125.53;4;8;27108;3.28
19776;2008;15;23108;43;1369;221;2261;198;618;4243;37;23;4500.0;2;8;17980;1.58
19777;2008;15;23108;22;1369;221;2261;198;618;4243;37;23;59048.96;4;6;17980;35.34
19778;2008;15;23108;14;1369;221;2261;198;618;4243;37;23;34860.0;2;2;17980;8.11
19812;2008;15;23043;22;1098;179;1762;318;868;4068;57;35;17000.0;2;8;16840;22.84
19813;2008;15;23043;14;1098;179;1762;318;868;4068;57;35;15116.6;2;8;16840;18.88
19861;2008;15;25496;27;5655;5101;13864;2672;4975;14411;353;270;274430.0;2;8;94758;19.54
19862;2008;15;25496;14;5655;5101;13864;2672;4975;14411;353;270;221550.0;2;4;94758;22.7
19895;2008;15;23329;40;1795;189;2053;136;563;4747;32;27;52341.51;4;7;19148;20.99
19896;2008;15;23329;12;1795;189;2053;136;563;4747;32;27;40850.0;2;8;19148;18.04
19924;2008;15;25518;40;2957;697;8122;1080;3226;9137;95;108;66645.55;2;6;50858;19.82
19925;2008;15;25518;25;2957;697;8122;1080;3226;9137;95;108;64071.82;2;8;50858;19.95
19991;2008;15;25534;45;1781;206;2646;235;666;3787;66;40;75000.0;2;8;18868;17.43
19992;2008;15;25534;40;1781;206;2646;235;666;3787;66;40;21821.0;2;2;18868;24.08
19993;2008;15;25534;45;1781;206;2646;235;666;3787;66;40;0.0;2;7;18868;17.43
20030;2008;15;25550;40;1605;308;2732;300;886;2098;44;31;16655.0;2;3;16054;15.47
20031;2008;15;25550;14;1605;308;2732;300;886;2098;44;31;69846.3;2;6;16054;21.68
20054;2008;15;25771;22;6531;1726;15218;3397;8020;17015;873;676;159300.0;2;8;107024;19.35
20055;2008;15;25771;20;6531;1726;15218;3397;8020;17015;873;676;8000.0;2;6;107024;1.45
20056;2008;15;25771;40;6531;1726;15218;3397;8020;17015;873;676;3800.0;2;7;107024;1.39
20156;2008;15;25798;15;1579;273;3886;469;1484;5969;93;86;95700.0;2;5;27792;23.99
20157;2008;15;25798;22;1579;273;3886;469;1484;5969;93;86;58079.0;2;6;27792;15.79
20187;2008;15;25810;40;3438;612;6709;1106;3011;5134;357;170;108899.0;4;6;41222;22.27
20188;2008;15;25810;22;3438;612;6709;1106;3011;5134;357;170;50449.5;2;6;41222;19.95
20240;2008;15;25836;40;3088;627;8043;909;2694;6509;105;122;75800.0;2;8;44218;21.42
20241;2008;15;25836;14;3088;627;8043;909;2694;6509;105;122;136120.31;2;6;44218;22.0
20302;2008;15;25879;40;441;138;1754;169;629;1624;24;20;6832.0;4;6;9630;25.97
20303;2008;15;25879;14;441;138;1754;169;629;1624;24;20;18778.4;2;6;9630;15.1
20323;2008;15;25895;40;5484;1483;9495;2173;5384;15050;444;274;182600.0;4;8;79722;13.29
20324;2008;15;25895;13;5484;1483;9495;2173;5384;15050;444;274;133955.4;2;8;79722;24.72
20325;2008;15;25895;28;5484;1483;9495;2173;5384;15050;444;274;990.0;2;8;79722;0.15
20419;2008;15;25577;45;2749;129;2183;200;695;1893;27;33;40745.94;2;8;15818;17.11
20447;2008;15;25593;36;6345;892;9663;1183;3742;10016;250;187;0.0;2;7;64612;0.04
20448;2008;15;25593;15;6345;892;9663;1183;3742;10016;250;187;175353.56;2;8;64612;23.04
20449;2008;15;25593;40;6345;892;9663;1183;3742;10016;250;187;102506.0;2;6;64612;13.35
20506;2008;15;25615;14;4648;808;9372;752;2557;8680;156;127;92885.0;2;8;54334;21.61
20507;2008;15;25615;22;4648;808;9372;752;2557;8680;156;127;48338.0;2;8;54334;16.6
20581;2008;15;25658;45;3521;587;3993;459;927;7057;68;26;45940.0;2;8;33324;16.38
20582;2008;15;25658;10;3521;587;3993;459;927;7057;68;26;315.0;4;8;33324;0.35
20583;2008;15;25658;12;3521;587;3993;459;927;7057;68;26;80603.81;2;3;33324;21.14
20658;2008;15;25674;25;1733;755;3736;822;1564;2790;207;114;137419.51;2;8;23492;23.88
20659;2008;15;25674;14;1733;755;3736;822;1564;2790;207;114;34069.1;4;8;23492;15.18
20660;2008;15;25674;40;1733;755;3736;822;1564;2790;207;114;11593.56;2;6;23492;1.88
20738;2008;15;25690;14;4302;781;8271;942;2764;7315;188;117;18200.0;2;8;49560;15.07
20739;2008;15;25690;22;4302;781;8271;942;2764;7315;188;117;104075.0;2;8;49560;19.89
20765;2008;15;25712;25;3919;777;6025;1620;3549;7078;335;181;0.0;2;8;47164;0.12
20766;2008;15;25712;22;3919;777;6025;1620;3549;7078;335;181;38909.07;2;8;47164;15.24
20767;2008;15;25712;40;3919;777;6025;1620;3549;7078;335;181;18424.48;2;6;47164;22.19
20801;2008;15;25631;14;3505;613;4346;418;1145;5925;118;80;99284.82;2;8;32340;21.7
20831;2008;15;25739;19;7233;3203;25551;5289;10955;15191;564;533;4835.5;2;7;137086;1.05
20832;2008;15;25739;12;7233;3203;25551;5289;10955;15191;564;533;770.0;2;6;137086;0.44
20833;2008;15;25739;40;7233;3203;25551;5289;10955;15191;564;533;175000.0;2;8;137086;19.0
20834;2008;15;25739;36;7233;3203;25551;5289;10955;15191;564;533;6000.0;2;8;137086;0.53
20835;2008;15;25739;17;7233;3203;25551;5289;10955;15191;564;533;15000.0;2;8;137086;0.92
20836;2008;15;25739;45;7233;3203;25551;5289;10955;15191;564;533;135810.0;2;8;137086;15.95
20992;2008;15;25755;40;3119;445;4263;428;1186;3905;77;56;123635.97;2;6;26980;17.58
20993;2008;15;25755;25;3119;445;4263;428;1186;3905;77;56;67872.0;2;3;26980;18.05
21025;2008;15;25917;13;2355;569;5758;961;2449;6715;181;112;24511.0;2;7;38422;1.16
21026;2008;15;25917;40;2355;569;5758;961;2449;6715;181;112;215000.0;2;6;38422;18.75
21027;2008;15;25917;14;2355;569;5758;961;2449;6715;181;112;57050.5;2;8;38422;18.37
21075;2008;15;25933;25;1893;447;3207;224;830;3451;59;49;0.0;4;7;20356;17.3
21076;2008;15;25933;14;1893;447;3207;224;830;3451;59;49;71407.8;2;4;20356;19.06
21127;2008;15;25950;25;1758;321;3682;582;1694;3949;89;59;52100.0;2;6;24338;29.07
21128;2008;15;25950;40;1758;321;3682;582;1694;3949;89;59;0.0;2;6;24338;5.57
21168;2008;15;23280;14;2544;441;6095;953;1670;2637;321;166;89166.59;2;6;29664;21.43
21169;2008;15;23280;40;2544;441;6095;953;1670;2637;321;166;9935.0;2;3;29664;17.64
21240;2008;15;25992;40;1932;588;6519;812;1980;5126;156;83;53890.0;2;6;34400;21.43
21241;2008;15;25992;25;1932;588;6519;812;1980;5126;156;83;26426.27;2;8;34400;20.9
21278;2008;15;26018;22;962;174;1361;212;523;1547;15;17;48310.0;2;6;9646;34.93
21279;2008;15;26018;40;962;174;1361;212;523;1547;15;17;6019.5;2;6;9646;7.97
21302;2008;15;26034;14;498;127;1956;383;894;2457;59;53;38810.0;2;8;12864;18.65
