ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;QTD_APTOS;QTD_COMPARECIMENTO
3366;3968;397;5793;762;1604;3700;172;83;32972;28320.0
3367;3968;397;5793;762;1604;3700;172;83;32972;28320.0
3368;3968;397;5793;762;1604;3700;172;83;32972;28320.0
3429;1669;264;2413;204;514;3027;32;17;16282;12490.0
3430;1669;264;2413;204;514;3027;32;17;16282;12490.0
3431;1669;264;2413;204;514;3027;32;17;16282;12490.0
3470;4992;2266;9922;2486;3078;5194;676;343;57964;50336.0
3471;4992;2266;9922;2486;3078;5194;676;343;57964;50336.0
3472;4992;2266;9922;2486;3078;5194;676;343;57964;50336.0
3473;4992;2266;9922;2486;3078;5194;676;343;57964;50336.0
3566;2861;328;3531;496;1131;2817;58;47;22560;18766.0
3567;2861;328;3531;496;1131;2817;58;47;22560;18766.0
3611;4785;472;4247;534;1082;5560;87;54;33670;26798.0
3612;4785;472;4247;534;1082;5560;87;54;33670;26798.0
3613;4785;472;4247;534;1082;5560;87;54;33670;26798.0
3614;4785;472;4247;534;1082;5560;87;54;33670;26798.0
3670;3862;377;5312;589;1553;4560;42;26;32674;25654.0
3671;3862;377;5312;589;1553;4560;42;26;32674;25654.0
3740;2366;444;4849;332;852;2390;46;33;22632;19304.0
3741;2366;444;4849;332;852;2390;46;33;22632;19304.0
3742;2366;444;4849;332;852;2390;46;33;22632;19304.0
3743;2366;444;4849;332;852;2390;46;33;22632;19304.0
3811;664;94;1027;88;254;1168;12;10;6658;6304.0
3812;664;94;1027;88;254;1168;12;10;6658;6304.0
3835;1797;201;1251;162;323;1653;8;9;10816;9016.0
3836;1797;201;1251;162;323;1653;8;9;10816;9016.0
3873;4268;715;6110;710;1586;4410;121;98;36064;30900.0
3874;4268;715;6110;710;1586;4410;121;98;36064;30900.0
3907;2389;147;1916;243;562;2098;42;35;14864;13854.0
3908;2389;147;1916;243;562;2098;42;35;14864;13854.0
3954;2934;491;3481;687;1155;4881;56;45;27468;22938.0
3955;2934;491;3481;687;1155;4881;56;45;27468;22938.0
3956;2934;491;3481;687;1155;4881;56;45;27468;22938.0
4023;1093;146;1560;109;237;1880;9;6;10100;9410.0
4024;1093;146;1560;109;237;1880;9;6;10100;9410.0
4049;836;67;1486;80;227;1374;16;7;8188;6950.0
4050;836;67;1486;80;227;1374;16;7;8188;6950.0
4072;1612;169;1925;172;468;4051;35;25;16930;13758.0
4073;1612;169;1925;172;468;4051;35;25;16930;13758.0
4074;1612;169;1925;172;468;4051;35;25;16930;13758.0
4075;1612;169;1925;172;468;4051;35;25;16930;13758.0
4076;1612;169;1925;172;468;4051;35;25;16930;13758.0
4120;1399;232;2528;221;489;3158;14;12;16114;13400.0
4121;1399;232;2528;221;489;3158;14;12;16114;13400.0
4122;1399;232;2528;221;489;3158;14;12;16114;13400.0
4178;484;103;1200;147;378;1393;6;9;7442;6642.0
4179;484;103;1200;147;378;1393;6;9;7442;6642.0
4204;7045;2528;15996;3847;6793;12568;621;512;99924;80242.0
4205;7045;2528;15996;3847;6793;12568;621;512;99924;80242.0
4206;7045;2528;15996;3847;6793;12568;621;512;99924;80242.0
4207;7045;2528;15996;3847;6793;12568;621;512;99924;80242.0
4320;1587;117;2444;148;516;2859;18;18;15424;12514.0
4321;1587;117;2444;148;516;2859;18;18;15424;12514.0
4427;2845;321;3357;295;715;2664;62;38;20644;17576.0
4428;2845;321;3357;295;715;2664;62;38;20644;17576.0
4475;937;141;1898;252;670;1729;64;44;11500;10458.0
4476;937;141;1898;252;670;1729;64;44;11500;10458.0
4518;4677;1240;13169;2598;6398;8414;875;522;75820;62870.0
4519;4677;1240;13169;2598;6398;8414;875;522;75820;62870.0
4611;2322;348;4541;507;1321;3103;113;86;24702;20266.0
4612;2322;348;4541;507;1321;3103;113;86;24702;20266.0
4656;4400;1140;8849;1207;3161;5669;183;100;49436;40670.0
4657;4400;1140;8849;1207;3161;5669;183;100;49436;40670.0
4720;601;70;699;89;167;721;18;2;4736;4314.0
4721;601;70;699;89;167;721;18;2;4736;4314.0
4722;601;70;699;89;167;721;18;2;4736;4314.0
4743;2303;435;3675;571;1020;3863;127;73;24172;22250.0
4744;2303;435;3675;571;1020;3863;127;73;24172;22250.0
4745;2303;435;3675;571;1020;3863;127;73;24172;22250.0
4746;2303;435;3675;571;1020;3863;127;73;24172;22250.0
4797;5320;356;7102;711;1905;3753;115;102;38742;31358.0
4798;5320;356;7102;711;1905;3753;115;102;38742;31358.0
4799;5320;356;7102;711;1905;3753;115;102;38742;31358.0
4800;5320;356;7102;711;1905;3753;115;102;38742;31358.0
4878;1188;294;2347;376;642;1440;94;60;19356;16226.0
4879;1188;294;2347;376;642;1440;94;60;19356;16226.0
4880;1188;294;2347;376;642;1440;94;60;19356;16226.0
4909;2150;252;3411;344;1042;6148;47;57;40416;33299.0
4910;2150;252;3411;344;1042;6148;47;57;40416;33299.0
4911;2150;252;3411;344;1042;6148;47;57;40416;33299.0
4945;2423;246;2657;184;590;3674;29;21;19652;16386.0
4946;2423;246;2657;184;590;3674;29;21;19652;16386.0
4947;2423;246;2657;184;590;3674;29;21;19652;16386.0
4948;2423;246;2657;184;590;3674;29;21;19652;16386.0
4977;2621;491;4905;997;2112;6002;120;75;34662;28754.0
4978;2621;491;4905;997;2112;6002;120;75;34662;28754.0
4979;2621;491;4905;997;2112;6002;120;75;34662;28754.0
4980;2621;491;4905;997;2112;6002;120;75;34662;28754.0
5041;2079;278;3511;298;737;1970;116;60;18114;16028.0
5042;2079;278;3511;298;737;1970;116;60;18114;16028.0
5043;2079;278;3511;298;737;1970;116;60;18114;16028.0
5097;5800;5600;17024;3966;6424;8740;362;293;96510;80404.0
5098;5800;5600;17024;3966;6424;8740;362;293;96510;80404.0
5099;5800;5600;17024;3966;6424;8740;362;293;96510;80404.0
5100;5800;5600;17024;3966;6424;8740;362;293;96510;80404.0
5101;5800;5600;17024;3966;6424;8740;362;293;96510;80404.0
5220;1699;123;1703;77;260;917;21;20;9652;7406.0
5221;1699;123;1703;77;260;917;21;20;9652;7406.0
5247;769;485;1964;306;559;1177;63;59;10782;9310.0
5248;769;485;1964;306;559;1177;63;59;10782;9310.0
5249;769;485;1964;306;559;1177;63;59;10782;9310.0
5250;769;485;1964;306;559;1177;63;59;10782;9310.0
5303;4473;898;7127;1491;3101;11417;260;190;57952;47890.0
5304;4473;898;7127;1491;3101;11417;260;190;57952;47890.0
5305;4473;898;7127;1491;3101;11417;260;190;57952;47890.0
5306;4473;898;7127;1491;3101;11417;260;190;57952;47890.0
5363;2074;201;2347;257;642;2143;21;31;15458;13070.0
5364;2074;201;2347;257;642;2143;21;31;15458;13070.0
5365;2074;201;2347;257;642;2143;21;31;15458;13070.0
5366;2074;201;2347;257;642;2143;21;31;15458;13070.0
5407;1002;989;3043;737;1239;1953;57;69;18194;15586.0
5408;1002;989;3043;737;1239;1953;57;69;18194;15586.0
5467;1646;200;2006;143;493;3291;9;17;15618;12998.0
5468;1646;200;2006;143;493;3291;9;17;15618;12998.0
5469;1646;200;2006;143;493;3291;9;17;15618;12998.0
5504;891;161;1956;189;552;1365;28;13;10334;9016.0
5505;891;161;1956;189;552;1365;28;13;10334;9016.0
5532;3841;443;5485;658;1508;2958;96;92;45246;39262.0
5533;3841;443;5485;658;1508;2958;96;92;45246;39262.0
5585;4638;454;4466;485;1541;7368;36;32;38062;30040.0
5586;4638;454;4466;485;1541;7368;36;32;38062;30040.0
5587;4638;454;4466;485;1541;7368;36;32;38062;30040.0
5669;5583;895;6226;695;1617;6679;94;77;43776;35994.0
5670;5583;895;6226;695;1617;6679;94;77;43776;35994.0
5671;5583;895;6226;695;1617;6679;94;77;43776;35994.0
5672;6034;1576;13842;2286;4682;5145;311;289;68366;59758.0
5673;6034;1576;13842;2286;4682;5145;311;289;68366;59758.0
5674;6034;1576;13842;2286;4682;5145;311;289;68366;59758.0
5675;6034;1576;13842;2286;4682;5145;311;289;68366;59758.0
5676;6034;1576;13842;2286;4682;5145;311;289;68366;59758.0
5761;780;344;2129;427;709;1286;101;65;11688;10632.0
5762;780;344;2129;427;709;1286;101;65;11688;10632.0
5763;780;344;2129;427;709;1286;101;65;11688;10632.0
5764;780;344;2129;427;709;1286;101;65;11688;10632.0
5765;780;344;2129;427;709;1286;101;65;11688;10632.0
5766;780;344;2129;427;709;1286;101;65;11688;10632.0
5862;4771;542;7045;493;1385;8295;77;59;45390;37636.0
5863;4771;542;7045;493;1385;8295;77;59;45390;37636.0
5864;4771;542;7045;493;1385;8295;77;59;45390;37636.0
5931;1050;93;1210;117;397;1060;26;13;11901;10896.0
5932;1050;93;1210;117;397;1060;26;13;11901;10896.0
5933;1050;93;1210;117;397;1060;26;13;11901;10896.0
5934;1050;93;1210;117;397;1060;26;13;11901;10896.0
5935;1050;93;1210;117;397;1060;26;13;11901;10896.0
5975;3460;227;4011;318;988;4061;40;35;26286;21480.0
6019;6047;799;9040;897;2857;9153;71;79;57914;44144.0
6020;6047;799;9040;897;2857;9153;71;79;57914;44144.0
6021;6047;799;9040;897;2857;9153;71;79;57914;44144.0
6071;3993;478;4461;507;1338;7247;68;54;36304;29350.0
6072;3993;478;4461;507;1338;7247;68;54;36304;29350.0
6110;9376;1450;12150;2244;4267;10490;310;246;81182;64682.0
6111;9376;1450;12150;2244;4267;10490;310;246;81182;64682.0
6112;9376;1450;12150;2244;4267;10490;310;246;81182;64682.0
6184;4728;483;7169;893;2231;3321;180;145;38318;31486.0
6185;4728;483;7169;893;2231;3321;180;145;38318;31486.0
6186;4728;483;7169;893;2231;3321;180;145;38318;31486.0
6187;4728;483;7169;893;2231;3321;180;145;38318;31486.0
6240;3380;238;4463;470;1176;4384;56;36;28422;21930.0
6241;3380;238;4463;470;1176;4384;56;36;28422;21930.0
6242;3380;238;4463;470;1176;4384;56;36;28422;21930.0
6243;3380;238;4463;470;1176;4384;56;36;28422;21930.0
0;1099;206;2974;175;515;2686;32;20;7709;6577.0
1;1099;206;2974;175;515;2686;32;20;7709;6577.0
80;974;116;1236;133;364;1223;20;7;8152;6938.0
81;974;116;1236;133;364;1223;20;7;8152;6938.0
82;974;116;1236;133;364;1223;20;7;8152;6938.0
143;845;266;1916;283;599;1927;27;13;17779;14474.0
144;845;266;1916;283;599;1927;27;13;17779;14474.0
145;845;266;1916;283;599;1927;27;13;17779;14474.0
146;845;266;1916;283;599;1927;27;13;17779;14474.0
147;845;266;1916;283;599;1927;27;13;17779;14474.0
148;845;266;1916;283;599;1927;27;13;17779;14474.0
197;1019;280;3069;505;1019;2224;38;21;16354;13996.0
198;1019;280;3069;505;1019;2224;38;21;16354;13996.0
199;1019;280;3069;505;1019;2224;38;21;16354;13996.0
200;1019;280;3069;505;1019;2224;38;21;16354;13996.0
248;1389;696;2862;422;768;2211;71;45;16932;13282.0
249;1389;696;2862;422;768;2211;71;45;16932;13282.0
250;1389;696;2862;422;768;2211;71;45;16932;13282.0
291;1174;103;1351;187;290;1293;31;23;8920;7198.0
292;1174;103;1351;187;290;1293;31;23;8920;7198.0
293;1174;103;1351;187;290;1293;31;23;8920;7198.0
348;2250;926;5019;929;1647;6221;144;70;34452;28134.0
349;2250;926;5019;929;1647;6221;144;70;34452;28134.0
350;2250;926;5019;929;1647;6221;144;70;34452;28134.0
431;994;412;3400;473;942;1281;53;37;15198;12556.0
432;994;412;3400;473;942;1281;53;37;15198;12556.0
497;1289;717;6075;463;1716;4119;43;30;28922;23676.0
498;1289;717;6075;463;1716;4119;43;30;28922;23676.0
499;1289;717;6075;463;1716;4119;43;30;28922;23676.0
500;1289;717;6075;463;1716;4119;43;30;28922;23676.0
501;1289;717;6075;463;1716;4119;43;30;28922;23676.0
589;3415;293;4166;500;1484;5030;53;36;29988;24760.0
590;3415;293;4166;500;1484;5030;53;36;29988;24760.0
591;3415;293;4166;500;1484;5030;53;36;29988;24760.0
665;1556;145;1571;261;418;3504;34;15;15008;13108.0
666;1556;145;1571;261;418;3504;34;15;15008;13108.0
667;1556;145;1571;261;418;3504;34;15;15008;13108.0
764;640;543;3206;397;897;2773;41;29;17058;14380.0
765;640;543;3206;397;897;2773;41;29;17058;14380.0
766;640;543;3206;397;897;2773;41;29;17058;14380.0
767;640;543;3206;397;897;2773;41;29;17058;14380.0
768;640;543;3206;397;897;2773;41;29;17058;14380.0
856;4190;559;4664;558;1819;5034;78;42;33906;27558.0
857;4190;559;4664;558;1819;5034;78;42;33906;27558.0
858;4190;559;4664;558;1819;5034;78;42;33906;27558.0
915;2265;549;6413;781;1590;4921;103;61;33374;27518.0
916;2265;549;6413;781;1590;4921;103;61;33374;27518.0
917;2265;549;6413;781;1590;4921;103;61;33374;27518.0
918;2265;549;6413;781;1590;4921;103;61;33374;27518.0
1029;1021;336;2663;353;533;1404;46;24;12760;10334.0
1030;1021;336;2663;353;533;1404;46;24;12760;10334.0
1068;1434;296;2012;194;450;1676;20;44;12252;9716.0
1069;1434;296;2012;194;450;1676;20;44;12252;9716.0
1106;5404;531;4847;262;757;3603;27;19;30910;22880.0
1107;5404;531;4847;262;757;3603;27;19;30910;22880.0
1108;5404;531;4847;262;757;3603;27;19;30910;22880.0
1161;1922;987;6994;895;1119;5140;86;65;34432;27948.0
1162;1922;987;6994;895;1119;5140;86;65;34432;27948.0
1163;1922;987;6994;895;1119;5140;86;65;34432;27948.0
1164;1922;987;6994;895;1119;5140;86;65;34432;27948.0
1273;1690;490;3885;584;1227;5415;72;49;26830;22430.0
1274;1690;490;3885;584;1227;5415;72;49;26830;22430.0
1275;1690;490;3885;584;1227;5415;72;49;26830;22430.0
1276;1690;490;3885;584;1227;5415;72;49;26830;22430.0
1277;1690;490;3885;584;1227;5415;72;49;26830;22430.0
1361;6185;1695;16049;2265;4424;9176;345;266;121118;98536.0
1362;6185;1695;16049;2265;4424;9176;345;266;121118;98536.0
1363;6185;1695;16049;2265;4424;9176;345;266;121118;98536.0
1364;6185;1695;16049;2265;4424;9176;345;266;121118;98536.0
1452;2231;498;3841;398;1197;4290;83;55;25198;20354.0
1453;2231;498;3841;398;1197;4290;83;55;25198;20354.0
1454;2231;498;3841;398;1197;4290;83;55;25198;20354.0
1455;2231;498;3841;398;1197;4290;83;55;25198;20354.0
1535;6489;814;4758;364;1418;3651;53;28;35182;26662.0
