ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;TOTAL_VOTOS
3612;2008;2;27995;15;4785;472;4247;534;1082;5560;87;54;55791.88;2;6;33670;5135
3613;2008;2;27995;11;4785;472;4247;534;1082;5560;87;54;79420.0;2;7;33670;5736
3614;2008;2;27995;45;4785;472;4247;534;1082;5560;87;54;14334.33;2;6;33670;1173
3670;2008;2;28010;15;3862;377;5312;589;1553;4560;42;26;237654.35;4;8;32674;4685
3671;2008;2;28010;12;3862;377;5312;589;1553;4560;42;26;38215.6;2;6;32674;1456
3740;2008;2;28037;23;2366;444;4849;332;852;2390;46;33;5060.73;2;3;22632;771
3741;2008;2;28037;10;2366;444;4849;332;852;2390;46;33;3584.76;2;8;22632;2143
3742;2008;2;28037;15;2366;444;4849;332;852;2390;46;33;1010.0;4;6;22632;92
3743;2008;2;28037;45;2366;444;4849;332;852;2390;46;33;66177.7;4;6;22632;5733
3811;2008;2;28053;14;664;94;1027;88;254;1168;12;10;61354.0;4;6;6658;1165
3812;2008;2;28053;45;664;94;1027;88;254;1168;12;10;60046.78;4;6;6658;1815
3835;2008;2;28070;22;1797;201;1251;162;323;1653;8;9;15042.5;2;7;10816;3154
3836;2008;2;28070;20;1797;201;1251;162;323;1653;8;9;0.0;2;6;10816;970
3873;2008;2;28096;17;4268;715;6110;710;1586;4410;121;98;22677.5;2;4;36064;4434
3874;2008;2;28096;15;4268;715;6110;710;1586;4410;121;98;158666.58;2;8;36064;9121
3907;2008;2;28118;15;2389;147;1916;243;562;2098;42;35;25300.0;2;3;14864;2980
3908;2008;2;28118;33;2389;147;1916;243;562;2098;42;35;59066.38;2;7;14864;3476
3954;2008;2;28134;28;2934;491;3481;687;1155;4881;56;45;8150.0;2;8;27468;1399
3955;2008;2;28134;22;2934;491;3481;687;1155;4881;56;45;111271.4;2;8;27468;5852
3956;2008;2;28134;70;2934;491;3481;687;1155;4881;56;45;85504.05;2;6;27468;3440
4023;2008;2;28150;45;1093;146;1560;109;237;1880;9;6;68268.0;2;4;10100;2390
4024;2008;2;28150;15;1093;146;1560;109;237;1880;9;6;54300.0;2;8;10100;1947
4049;2008;2;28177;12;836;67;1486;80;227;1374;16;7;30370.7;2;3;8188;1646
4050;2008;2;28177;20;836;67;1486;80;227;1374;16;7;30287.2;4;8;8188;1540
4072;2008;2;28193;13;1612;169;1925;172;468;4051;35;25;2002.0;2;8;16930;441
4073;2008;2;28193;20;1612;169;1925;172;468;4051;35;25;57389.75;2;6;16930;1829
4074;2008;2;28193;33;1612;169;1925;172;468;4051;35;25;20000.0;2;6;16930;1322
4075;2008;2;28193;33;1612;169;1925;172;468;4051;35;25;0.0;4;5;16930;1322
4076;2008;2;28193;11;1612;169;1925;172;468;4051;35;25;74517.84;2;3;16930;2695
4120;2008;2;28215;15;1399;232;2528;221;489;3158;14;12;38026.76;2;6;16114;3451
4121;2008;2;28215;33;1399;232;2528;221;489;3158;14;12;24314.85;2;6;16114;2770
4122;2008;2;28215;19;1399;232;2528;221;489;3158;14;12;23515.61;2;8;16114;24
4178;2008;2;28231;45;484;103;1200;147;378;1393;6;9;21540.0;2;4;7442;1306
4179;2008;2;28231;11;484;103;1200;147;378;1393;6;9;36984.0;2;6;7442;1859
4204;2008;2;28258;50;7045;2528;15996;3847;6793;12568;621;512;0.0;2;8;99924;5792
4205;2008;2;28258;45;7045;2528;15996;3847;6793;12568;621;512;148622.47;2;8;99924;15362
4206;2008;2;28258;13;7045;2528;15996;3847;6793;12568;621;512;18530.6;2;8;99924;2321
4207;2008;2;28258;14;7045;2528;15996;3847;6793;12568;621;512;101278.01;2;5;99924;13231
4320;2008;2;27022;11;1587;117;2444;148;516;2859;18;18;90325.6;2;6;15424;3387
4321;2008;2;27022;45;1587;117;2444;148;516;2859;18;18;36838.0;2;2;15424;2433
4427;2008;2;28290;15;2845;321;3357;295;715;2664;62;38;147681.2;4;8;20644;3735
4428;2008;2;28290;11;2845;321;3357;295;715;2664;62;38;66294.14;4;6;20644;4464
4475;2008;2;28312;14;937;141;1898;252;670;1729;64;44;50825.93;2;6;11500;1776
4476;2008;2;28312;40;937;141;1898;252;670;1729;64;44;62101.8;2;8;11500;2990
4518;2008;2;28339;45;4677;1240;13169;2598;6398;8414;875;522;523299.24;2;8;75820;14819
4519;2008;2;28339;12;4677;1240;13169;2598;6398;8414;875;522;446301.85;2;8;75820;14386
4611;2008;2;28355;40;2322;348;4541;507;1321;3103;113;86;83500.0;2;7;24702;5000
4612;2008;2;28355;14;2322;348;4541;507;1321;3103;113;86;121787.34;2;8;24702;4284
4656;2008;2;28371;15;4400;1140;8849;1207;3161;5669;183;100;97463.35;2;8;49436;8530
4657;2008;2;28371;70;4400;1140;8849;1207;3161;5669;183;100;240920.74;2;8;49436;9871
4720;2008;2;28398;40;601;70;699;89;167;721;18;2;0.0;2;8;4736;1334
4721;2008;2;28398;14;601;70;699;89;167;721;18;2;17589.0;2;6;4736;598
4722;2008;2;28398;40;601;70;699;89;167;721;18;2;20000.0;2;3;4736;1334
4743;2008;2;28410;40;2303;435;3675;571;1020;3863;127;73;0.0;2;6;24172;4
4744;2008;2;28410;13;2303;435;3675;571;1020;3863;127;73;14900.0;2;8;24172;4415
4745;2008;2;28410;50;2303;435;3675;571;1020;3863;127;73;0.0;2;4;24172;179
4746;2008;2;28410;15;2303;435;3675;571;1020;3863;127;73;151515.97;4;8;24172;5471
4797;2008;2;28452;19;5320;356;7102;711;1905;3753;115;102;0.0;2;8;38742;17
4798;2008;2;28452;14;5320;356;7102;711;1905;3753;115;102;92152.1;2;8;38742;5377
4799;2008;2;28452;25;5320;356;7102;711;1905;3753;115;102;0.0;2;4;38742;595
